customer_id,name,transaction_date,amount,category
103,Charlie Davis,01/01/2022,759.03739,A
436,Alice Brown,01/01/2022,1096.181632,C
861,Alice Brown,02/01/2022,1158.623597,B
271,Bob Wilson,02/01/2022,859.027857,nan
107,John Smith,02/01/2022,712.566977,C
72,Alice Brown,03/01/2022,749.303,B
701,Alice Brown,03/01/2022,1280.716021,C
21,Bob Wilson,03/01/2022,877.266866,C
615,Bob Wilson,07/01/2022,1161.533889,C
122,John Smith,07/01/2022,1074.798141,B
467,Bob Wilson,07/01/2022,929.163784,B
215,Charlie Davis,07/01/2022,823.412357,C
331,Bob Wilson,08/01/2022,772.831851,C
459,Charlie Davis,08/01/2022,1069.007781,C
88,John Smith,09/01/2022,1164.780268,B
373,John Smith,10/01/2022,1086.342552,C
100,John Smith,10/01/2022,1018.18128,B
872,John Smith,10/01/2022,725.170734,B
664,John Smith,11/01/2022,1281.093267,A
131,Charlie Davis,11/01/2022,1179.228515,C
662,Charlie Davis,12/01/2022,875.693222,A
309,John Smith,12/01/2022,1287.982198,B
770,Bob Wilson,12/01/2022,1061.128954,C
344,Alice Brown,12/01/2022,1049.453595,A
492,John Smith,12/01/2022,1148.843908,A
414,Bob Wilson,12/01/2022,1187.061873,A
806,Alice Brown,13/01/2022,1093.887164,C
386,John Smith,14/01/2022,776.857448,C
192,John Smith,14/01/2022,902.960504,B
956,Charlie Davis,17/01/2022,1256.850184,C
277,Alice Brown,17/01/2022,834.769367,C
161,Alice Brown,17/01/2022,923.300214,B
460,Bob Wilson,17/01/2022,959.24613,C
314,Charlie Davis,19/01/2022,963.642994,C
22,Charlie Davis,20/01/2022,1067.763749,C
253,Charlie Davis,20/01/2022,1265.845503,A
748,Charlie Davis,21/01/2022,844.415627,C
857,Alice Brown,21/01/2022,772.900826,C
561,Alice Brown,21/01/2022,818.482294,B
475,John Smith,21/01/2022,1232.15494,B
59,John Smith,22/01/2022,1087.486488,A
511,Charlie Davis,22/01/2022,871.544074,A
682,Charlie Davis,22/01/2022,1189.568163,C
476,Charlie Davis,24/01/2022,1216.821998,A
700,John Smith,25/01/2022,1207.908603,B
976,Bob Wilson,26/01/2022,1251.35592,C
783,Bob Wilson,27/01/2022,851.344612,A
190,John Smith,28/01/2022,1153.025157,nan
958,John Smith,29/01/2022,976.323698,A
687,John Smith,29/01/2022,1205.199132,B
958,John Smith,31/01/2022,1137.094406,B
563,John Smith,02/02/2022,1165.868468,A
